,BENIGN,DDoS,DoS,Mirai,Rare,Recon,Spoofing
BENIGN,10125,0,0,0,0,2,9
DDoS,1,6364,1136,0,0,0,0
DoS,0,746,1038,0,0,0,1
Mirai,0,3,0,578,0,0,0
Rare,8,0,0,0,0,0,0
Recon,127,0,0,0,0,25,1
Spoofing,49,0,0,0,0,0,59
